feature_name,logistic_coefficient,abs_importance
p_champ_entropy,2.3030946323791266,2.3030946323791266
p_temp_entropy,-1.8043614770100487,1.8043614770100487
champ_confidence,0.8013025260546425,0.8013025260546425
temp_confidence,-0.48102488278444305,0.48102488278444305
signed_elo_diff,0.09016001266199428,0.09016001266199428
l2_prob_diff,-0.07059608465412384,0.07059608465412384
form_slope_diff,0.04296177760118332,0.04296177760118332
form15_home,-0.03168846279502582,0.03168846279502582
form15_away,0.028300325166475727,0.028300325166475727
form5_home,-0.021077561058774327,0.021077561058774327
abs_elo_diff,-0.019227477343375817,0.019227477343375817
form5_away,-0.017144147290814746,0.017144147290814746
kl_divergence,0.015246743560428521,0.015246743560428521
rest_diff,-0.013128921182693402,0.013128921182693402
tournament_importance,0.011303907092385561,0.011303907092385561
congestion_flag,0.003412327063016726,0.003412327063016726
volatility,-0.0005512255720763022,0.0005512255720763022
