gate_id,description,soft_scale_c,val_accuracy,val_correct_count,val_log_loss,val_norm_rps,val_brier,val_ece,val_draw_recall,mean_val_g,test_accuracy,test_correct_count,test_log_loss,test_norm_rps,test_brier,test_ece,test_draw_recall,mean_test_g,rescued_matches_n01,regression_matches_n10,net_gain,mcnemar_p_value
G1_Global_Temporal,Global temporal replacement (g=1 everywhere),0.25,0.5956722446624351,10323,0.8749362731458485,0.17207309114276745,0.5149212908749835,0.0076537805394525996,0.007235528942115769,0.25,0.6008683360258481,5951,0.8671513079590232,0.16904731440698487,0.5099391823829948,0.019997077734613383,0.005203816131830009,0.25,81,76,5,0.7495485048794944
G6_Learned_Meta_Gate,Learned regularized logistic meta-classifier,0.5,0.5962492787074437,10333,0.875069437874188,0.17212632713045567,0.5150574528211562,0.009906346854085991,0.008483033932135729,0.21583496993549564,0.6002625201938611,5945,0.8673370641831287,0.16911013166071845,0.5101560768965193,0.01853063246426156,0.006071118820468344,0.21587590458285402,60,61,-1,1.0
G6_Learned_Meta_Gate,Learned regularized logistic meta-classifier,0.25,0.5949798038084247,10311,0.8751746382680406,0.17217323436571166,0.5151299545215665,0.009234404458293233,0.011976047904191617,0.10791748496774782,0.6004644588045234,5947,0.8673671850541695,0.16914957099374078,0.5101789433096675,0.014976693808908498,0.009106678230702514,0.10793795229142701,34,33,1,1.0
G6_Learned_Meta_Gate,Learned regularized logistic meta-classifier,0.75,0.5960761684939412,10330,0.8755134008155443,0.17222398439698913,0.5153340294524156,0.011503646752965755,0.0054890219560878245,0.32375245490324345,0.6010702746365105,5953,0.8678581500489585,0.16921693955040978,0.5104868485683688,0.020179984196328965,0.0039028620988725065,0.32381385687428105,102,95,7,0.669028074498903
D0_Disagreement_Only,Temporal ONLY when Champion and Temporal disagree,0.25,0.5956722446624351,10323,0.8754260602090954,0.1722579782318554,0.5153047371759796,0.006190910028367174,0.007235528942115769,0.022648586266589728,0.6008683360258481,5951,0.8676587731277724,0.16924872049790354,0.5103678945945979,0.014844291192605566,0.005203816131830009,0.02168315831987076,81,76,5,0.7495485048794944
G3_High_Volatility_Gate,Temporal ONLY for high volatility matches,0.25,0.5962492787074437,10333,0.8756804097079748,0.17227410253810205,0.5153782816923741,0.0067087394475886485,0.015469061876247504,0.06252163877668783,0.601373182552504,5956,0.8677655792405063,0.169229881276985,0.5103501617534422,0.01533176547874778,0.013443191673894189,0.06436793214862682,24,14,10,0.14429205544010104
G2_Close_Match_Gate,Temporal ONLY for close matches (|dElo| < 50),0.25,0.5950375072129256,10312,0.875721030939439,0.17228677134251266,0.5154482693988187,0.00780262720636695,0.014970059880239521,0.04552798615118292,0.6002625201938611,5945,0.8677851586646177,0.1692418766948368,0.5104190479039916,0.015115551597834016,0.012575888985255855,0.04351777059773829,26,27,-1,1.0
D2_Disagreement_High_Vol,Temporal ONLY when Disagreement AND High Volatility,0.5,0.596537795729948,10338,0.8755825448334001,0.17228776197138107,0.5153821852341754,0.007848769597049542,0.013972055888223553,0.010444316214656664,0.602483844911147,5967,0.8675716545814095,0.16920244165801138,0.5102824085055525,0.013532281457572277,0.013009540329575022,0.01055129240710824,47,26,21,0.019241289593884825
D0_Disagreement_Only,Temporal ONLY when Champion and Temporal disagree,0.5,0.5955568378534334,10321,0.8754840370253271,0.17229187600984572,0.5153621288966603,0.007099908460617263,0.0007485029940119761,0.045297172533179456,0.6009693053311793,5952,0.8678360396904823,0.16930960303198309,0.5104974169022798,0.015432610137149657,0.0017346053772766695,0.04336631663974152,160,154,6,0.7778159791275583
D2_Disagreement_High_Vol,Temporal ONLY when Disagreement AND High Volatility,0.75,0.5963646855164455,10335,0.8756271195624328,0.17230563165740836,0.5154168372956512,0.0074616874080353675,0.013972055888223553,0.015666474321984997,0.6026857835218093,5969,0.8675606299635256,0.16919695426335443,0.5102761854345942,0.012754841039892906,0.013009540329575022,0.01582693861066236,66,43,23,0.03509870231097134
D2_Disagreement_High_Vol,Temporal ONLY when Disagreement AND High Volatility,0.25,0.5962492787074437,10333,0.8756440849372629,0.17230745345316398,0.5154270843201737,0.006805061343148519,0.015469061876247504,0.005222158107328332,0.601373182552504,5956,0.8676963430804029,0.16924854275338547,0.5103754959632921,0.014073660047946612,0.013443191673894189,0.00527564620355412,24,14,10,0.14429205544010104
