date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,gate_pred,category,gate_weight_g,champ_p_away,champ_p_draw,champ_p_home,gate_p_away,gate_p_draw,gate_p_home,elo_home,elo_away,abs_elo_diff,home_rest_days,away_rest_days,home_form5_pts,away_form5_pts,avg_volatility,is_regime_1,is_regime_2,is_regime_3,is_regime_4,is_regime_5,is_regime_6,is_regime_7,is_regime_8,is_regime_9
2016-03-29,Switzerland,Bosnia and Herzegovina,0,2,Friendly,Zürich,Switzerland,False,2,2,0,0,D_Both_Wrong,0.25,0.4742660992033243,0.3068270741667935,0.21890682662988226,0.4900794829808231,0.29299882561456253,0.21692169140461437,1803.014977316278,1736.566144196616,66.44883311966191,4.0,4.0,1.8,2.0,20.623255618791838,False,True,False,False,False,False,False,False,False
2016-03-29,Sweden,Czech Republic,1,1,Friendly,Solna,Sweden,False,1,1,0,0,D_Both_Wrong,0.25,0.4993120589913933,0.29821099909144577,0.2024769419171609,0.5073380697675208,0.2882446069745138,0.2044173232579653,1792.9530755293813,1745.569358314663,47.38371721471822,5.0,5.0,1.6,1.2,22.81690192882366,False,False,False,False,False,False,False,False,False
2016-03-29,Suriname,Guadeloupe,3,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,False,0,0,0,2,B_Regression_Gate_Wrong,0.25,0.37042811340048476,0.26485578527270104,0.3647161013268141,0.3612903443955277,0.26429869363962366,0.3744109619648486,1448.8904558844972,1567.9429360766815,119.05248019218425,6.0,6.0,0.8,1.0,24.606258326315924,False,True,False,False,False,False,False,False,False
2016-03-29,Sudan,Ivory Coast,1,1,African Cup of Nations qualification,Omdurman,Sudan,False,1,1,2,2,D_Both_Wrong,0.25,0.10300469465542311,0.23299913668323738,0.6639961686613395,0.10790375196442019,0.22696197174193133,0.6651342762936484,1405.7084208226777,1793.3576471285105,387.6492263058328,4.0,4.0,1.2,2.6,24.100775570581185,True,False,True,True,False,False,False,False,False
2016-03-29,Uganda,Burkina Faso,0,0,African Cup of Nations qualification,Kampala,Uganda,False,1,1,0,0,D_Both_Wrong,0.25,0.5369547988455602,0.3336705537627823,0.12937464739165752,0.5422648072221378,0.31329296135378304,0.14444223142407925,1613.0324006699338,1520.199535436717,92.83286523321681,3.0,3.0,1.6,1.2,24.33225900715026,False,True,False,False,False,False,False,True,False
2016-03-29,Malawi,Guinea,1,2,African Cup of Nations qualification,Blantyre,Malawi,False,2,2,2,2,A_Both_Correct,0.25,0.2560214549557535,0.313164360769206,0.4308141842750406,0.25875406037714227,0.3036563755019209,0.43758956412093686,1448.0566348377722,1650.9746357199733,202.9180008822011,4.0,4.0,1.4,2.2,18.759569947885538,True,False,False,True,False,False,True,False,False
2016-03-29,Liberia,Djibouti,5,0,African Cup of Nations qualification,Monrovia,Liberia,False,0,0,0,0,A_Both_Correct,0.25,0.9505166967953861,0.030785810044247453,0.01869749316036632,0.9416333588693402,0.03700037770356124,0.021366263427098534,1441.8668321142713,1017.9479187369487,423.9189133773226,5.0,5.0,1.4,0.0,23.982526835323675,False,False,True,False,True,False,False,False,False
2016-03-29,Luxembourg,Albania,0,2,Friendly,Luxembourg,Luxembourg,False,2,2,2,2,A_Both_Correct,0.25,0.13218409736483241,0.25737212332580617,0.6104437793093614,0.13761159587897076,0.2494428329424305,0.6129455711785988,1261.5518879397812,1620.1362460777364,358.5843581379552,4.0,3.0,0.6,1.0,28.363744962231625,True,False,True,False,True,True,False,True,False
2016-03-29,Afghanistan,Singapore,2,1,FIFA World Cup qualification,Tehran,Iran,True,0,0,2,2,D_Both_Wrong,0.25,0.2758421785581765,0.22933561347414247,0.49482220796768095,0.29826396376707237,0.2299256466050456,0.47181038962788197,1310.60466025748,1385.1278998148573,74.52323955737734,5.0,5.0,1.8,1.8,16.8451514769722,False,True,False,False,False,False,True,False,False
2016-03-29,Angola,DR Congo,0,2,African Cup of Nations qualification,Luanda,Angola,False,2,2,0,0,D_Both_Wrong,0.25,0.3963610295300026,0.34340199824076834,0.260236972229229,0.3949953603623784,0.3283659005304104,0.2766387391072112,1539.2290481197615,1607.5416176692174,68.31256954945593,3.0,3.0,1.2,1.8,21.183222369384044,False,True,False,False,False,False,False,True,False
2016-03-29,Argentina,Bolivia,2,0,FIFA World Cup qualification,Córdoba,Argentina,False,0,0,0,0,A_Both_Correct,0.25,0.8624566996910421,0.10691386929357663,0.030629431015381417,0.8511791367759655,0.11145502504023347,0.03736583818380098,2039.202709419605,1583.4606532562514,455.7420561633537,5.0,5.0,1.6,0.6,21.339921159282166,False,False,True,False,True,False,False,False,False
