metric,champion_r0,r4_candidate,difference
Log Loss,0.8677316423496366,0.8673706226776187,-0.00036101967201795926
Normalized RPS,0.16931012661815822,0.16922771505134515,-8.241156681307316e-05
Multiclass Brier Score,0.5103826828014356,0.5103838720026082,1.1892011725356255e-06
Expected Calibration Error (ECE),0.013316609589439843,0.017198124290107517,0.003881514700667674
Mean Prediction Confidence,0.6014529799228573,0.607101732603473,0.0056487526806157096
Mean Prediction Entropy,0.8747581320602265,0.8659028536729153,-0.00885527838731115
Mean Draw Probability,0.2280209329199164,0.2234011926380013,-0.004619740281915113
Mean Favorite Probability,0.6012515754223675,0.6069869586737022,0.005735383251334714
