date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2016-03-29,Lebanon,Myanmar,1,1,FIFA World Cup qualification,Sidon,Lebanon,False,1,1,0,0,D_Both_Wrong,0.8149254275172221,0.12716642343273082,0.05790814905004707,0.8664897398581377,0.0888685214675064,0.04464173867435576
2016-03-29,Japan,Syria,5,0,FIFA World Cup qualification,Saitama,Japan,False,0,0,0,0,A_Both_Correct,0.7649713388492823,0.17052266704242508,0.06450599410829273,0.7221063756864152,0.1806138854468947,0.09727973886669011
2016-03-29,Republic of Ireland,Slovakia,2,2,Friendly,Dublin,Republic of Ireland,False,1,1,0,0,D_Both_Wrong,0.5309196848526593,0.28955251399092374,0.17952780115641695,0.5543857403067541,0.2988630820582133,0.14675117763503248
2016-03-29,Iraq,Vietnam,1,0,FIFA World Cup qualification,Tehran,Iran,True,0,0,0,0,A_Both_Correct,0.6428397540565821,0.22316534381654762,0.13399490212687037,0.8020267541025295,0.11778855088569501,0.0801846950117755
2016-03-29,Iran,Oman,2,0,FIFA World Cup qualification,Tehran,Iran,False,0,0,0,0,A_Both_Correct,0.7739710764236801,0.16027180220647,0.06575712136984983,0.8051739096743827,0.1371806591160272,0.057645431209589926
2016-03-29,Honduras,El Salvador,2,0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,0,0,0,0,A_Both_Correct,0.5919694698425062,0.2758288065800216,0.13220172357747215,0.6431855915977258,0.23081503039629253,0.12599937800598168
2016-03-29,Greece,Iceland,2,3,Friendly,Piraeus,Greece,False,2,2,0,0,D_Both_Wrong,0.5854278817467884,0.27637189564282566,0.13820022261038592,0.5352785978853117,0.29479846855333014,0.16992293356135812
2016-03-29,Gibraltar,Latvia,0,5,Friendly,Gibraltar,Gibraltar,False,2,2,2,2,A_Both_Correct,0.2999695243980673,0.19234150135528938,0.5076889742466434,0.25185471641519774,0.2522144177397171,0.49593086584508506
2016-03-29,Germany,Italy,4,1,Friendly,Munich,Germany,False,0,0,0,0,A_Both_Correct,0.5217612348559594,0.2972938781288397,0.180944887015201,0.5489364924651544,0.2932494407296814,0.1578140668051641
2016-03-29,Georgia,Kazakhstan,1,1,Friendly,Tbilisi,Georgia,False,1,1,0,0,D_Both_Wrong,0.5464504013310097,0.27615852834645527,0.17739107032253504,0.6126306373405931,0.244708845105172,0.14266051755423492
2016-03-29,Gambia,Mauritania,0,0,African Cup of Nations qualification,Bakau,Gambia,False,1,1,0,0,D_Both_Wrong,0.6030021737643589,0.2621361893655735,0.13486163687006766,0.5615305800000706,0.2859368713730519,0.15253254862687746
2016-03-29,India,Turkmenistan,1,2,FIFA World Cup qualification,Kochi,India,False,2,2,0,2,C_Rescued_R4_Correct,0.396767563740578,0.2916572567505291,0.31157517950889285,0.3473562313604434,0.29262973314778046,0.3600140354917761
2016-04-02,Alderney,Guernsey,0,1,Muratti Vase,Alderney,Alderney,False,2,2,2,2,A_Both_Correct,0.022962786765712558,0.046452788456926124,0.9305844247773613,0.030665251253950452,0.04723182708744017,0.9221029216586094
2016-04-24,Panjab,Jersey,0,2,Friendly,Kidderminster,England,False,2,2,2,2,A_Both_Correct,0.2322788322925972,0.15220531909744314,0.6155158486099597,0.18024306130635548,0.11864179469563284,0.7011151439980117
2016-04-27,Martinique,Panama,0,2,Friendly,Fort-de-France,Martinique,False,2,2,2,2,A_Both_Correct,0.285090572759278,0.33625186337098134,0.37865756386974064,0.2841247168936332,0.29787221940341585,0.41800306370295087
2016-05-14,Jersey,Guernsey,1,0,Muratti Vase,Jersey,Jersey,False,0,0,0,0,A_Both_Correct,0.45474951610748093,0.24930522083411813,0.2959452630584009,0.4405570984829883,0.25229273479615655,0.3071501667208552
2016-05-16,Romani people,Padania,0,2,Friendly,Milan,Italy,True,2,2,2,2,A_Both_Correct,0.12587434868822417,0.10864809340053408,0.7654775579112417,0.10171432245527609,0.0865300131439025,0.8117556644008215
2016-05-20,Hungary,Ivory Coast,0,0,Friendly,Budapest,Hungary,False,1,1,1,0,B_Regression_R4_Wrong,0.3543773999094851,0.3553698044224616,0.29025279566805334,0.35956673724893545,0.32509413680854427,0.3153391259425203
2016-05-20,Galicia,Venezuela,1,1,Friendly,A Coruña,Spain,False,1,1,2,2,D_Both_Wrong,0.3544955883218618,0.24588405146258843,0.3996203602155498,0.3002113930111765,0.209716144047894,0.49007246294092965
2016-05-21,Botswana,Lesotho,2,1,Friendly,Serowe,Botswana,False,0,0,0,0,A_Both_Correct,0.5754664381413152,0.3034496515432481,0.1210839103154368,0.619304424304734,0.2605214938183112,0.12017408187695497
2016-05-21,Abkhazia,Donetsk PR,0,0,Friendly,Sukhumi,Georgia,False,1,1,0,0,D_Both_Wrong,0.5733704894921927,0.26301663140092735,0.16361287910688002,0.6762798045186167,0.20418215354906027,0.11953804193232288
2016-05-22,England,Turkey,2,1,Friendly,Manchester,England,False,0,0,0,0,A_Both_Correct,0.6261534142473729,0.2625416468904808,0.11130493886214635,0.6099995002451134,0.27030393118346197,0.11969656857142462
2016-05-22,Puerto Rico,United States,1,3,Friendly,Bayamón,Puerto Rico,False,2,2,2,2,A_Both_Correct,0.07573529695191385,0.12936682265975355,0.7948978803883325,0.05061114011533239,0.09635503070319254,0.853033829181475
2016-05-23,Peru,Trinidad and Tobago,4,0,Friendly,Lima,Peru,False,0,0,0,0,A_Both_Correct,0.6911102030775352,0.1970323759421173,0.11185742098034736,0.7694010552944663,0.16035318038844512,0.0702457643170886
2016-05-25,Romania,DR Congo,1,1,Friendly,Como,Italy,True,1,1,0,0,D_Both_Wrong,0.5431354935485259,0.27967321606391393,0.17719129038756012,0.6123263388231845,0.2533407089290575,0.13433295224775782
2016-05-25,Serbia,Cyprus,2,1,Friendly,Užice,Serbia,False,0,0,0,0,A_Both_Correct,0.7845713274396072,0.15692827874747708,0.05850039381291553,0.7800688199887573,0.15609183483459332,0.06383934517664938
2016-05-26,Azerbaijan,Andorra,0,0,Friendly,Bad Erlach,Austria,True,1,1,0,0,D_Both_Wrong,0.8555820245216674,0.09441183120931557,0.05000614426901704,0.8075145402249345,0.13461669512287616,0.05786876465218932
2016-05-27,Corsica,Basque Country,1,1,Friendly,Ajaccio,France,False,1,1,2,2,D_Both_Wrong,0.22341075665898136,0.3271316176723863,0.44945762566863234,0.23363983774397742,0.30874441220870796,0.45761575004731464
2016-05-27,Uruguay,Trinidad and Tobago,3,1,Friendly,Montevideo,Uruguay,False,0,0,0,0,A_Both_Correct,0.817301887993112,0.1317276179644389,0.050970494042448994,0.842770612583928,0.11250731751656604,0.044722069899505994
2016-05-27,Togo,Zambia,1,0,Friendly,Lomé,Togo,False,0,0,0,0,A_Both_Correct,0.40596307003082943,0.30864475257671337,0.2853921773924572,0.4036354937183221,0.3128116720454774,0.28355283423620053
2016-05-27,Slovakia,Georgia,3,1,Friendly,Wels,Austria,True,0,0,0,0,A_Both_Correct,0.6210240076116375,0.23631980436685857,0.14265618802150395,0.5578808019906942,0.2951082888835874,0.14701090912571835
2016-05-27,Northern Ireland,Belarus,3,0,Friendly,Belfast,Northern Ireland,False,0,0,0,0,A_Both_Correct,0.49036434285792907,0.30085906030654114,0.2087765968355297,0.43102726352244974,0.3296893040614925,0.23928343241605776
2016-05-27,Croatia,Moldova,1,0,Friendly,Koprivnica,Croatia,False,0,0,0,0,A_Both_Correct,0.8568820725456694,0.11922400450958794,0.023893922944742695,0.8915588132693978,0.08237302975680952,0.026068156973792635
2016-05-27,Morocco,Congo,2,0,Friendly,Tangier,Morocco,False,0,0,0,0,A_Both_Correct,0.6454381008031845,0.23028707206804896,0.12427482712876661,0.7668248051187461,0.15381746737620408,0.07935772750504971
2016-05-27,Republic of Ireland,Netherlands,1,1,Friendly,Dublin,Republic of Ireland,False,1,1,0,0,D_Both_Wrong,0.3616297627505047,0.34007893262115174,0.2982913046283435,0.3551687812067566,0.33585854689936584,0.30897267189387756
2016-05-27,England,Australia,2,1,Friendly,Sunderland,England,False,0,0,0,0,A_Both_Correct,0.6277164562474029,0.23344620307872951,0.1388373406738676,0.5660744990030646,0.28743378321978363,0.1464917177771517
2016-05-27,Czech Republic,Malta,6,0,Friendly,Kufstein,Austria,True,0,0,0,0,A_Both_Correct,0.822124988300609,0.1391112754182926,0.03876373628109836,0.8588309534234616,0.10003674645036909,0.04113230012616934
2016-05-27,Nigeria,Mali,1,0,Friendly,Le Petit-Quevilly,France,True,0,0,0,0,A_Both_Correct,0.4948477052356361,0.3133108581563693,0.19184143660799474,0.5041250505292162,0.30423967979544675,0.191635269675337
2016-05-28,Vanuatu,Solomon Islands,0,1,Oceania Nations Cup,Port Moresby,Papua New Guinea,True,2,2,0,0,D_Both_Wrong,0.4800750945464546,0.24527507556822534,0.27464982988532016,0.5143897016567551,0.2685520244601637,0.2170582738830812
2016-05-28,Switzerland,Belgium,1,2,Friendly,Geneva,Switzerland,False,2,2,0,0,D_Both_Wrong,0.3699606613731642,0.3056440637763236,0.3243952748505122,0.36569514223585203,0.2734946893604301,0.3608101684037179
2016-05-28,Rwanda,Senegal,0,2,Friendly,Kigali,Rwanda,False,2,2,2,2,A_Both_Correct,0.2818703850227953,0.31412446054365006,0.4040051544335548,0.2687242073431412,0.33920779272717166,0.39206799992968727
