ablation_id,description,total_features,val_accuracy,val_log_loss,val_norm_rps,test_accuracy,test_correct,test_total,test_log_loss,test_norm_rps,test_ece,runtime_seconds
A_Champion_Only,Official 217 Tabular Champion Features,227,0.5952683208309291,0.8760432131213033,0.17242232978488178,0.6004644588045234,5947,9904,0.8677316423496366,0.16931012661815822,0.013316609589439843,40.25759768486023
B_Champion_plus_Raw_Summary,Champion + Raw Timestep Summary Stats (Mean/Std),262,0.5980380842469706,0.8762829644769347,0.17248269975105476,0.6020799676898223,5963,9904,0.8686004416582916,0.1695749687390206,0.010046538172969067,48.50791954994202
C_Champion_plus_Learned_Latents,Champion + Neural Sequence Latents (Frozen R4),483,0.5972879399884593,0.8748889100232644,0.17207231079505567,0.6010702746365105,5953,9904,0.8673706226776187,0.16922771505134515,0.017198124290107517,80.62436628341675
D_Champion_plus_Temporal_Momentum,Champion + Handcrafted Explicit Momentum Features,247,0.5955568378534334,0.8763701800504882,0.17252164161580114,0.6004644588045234,5947,9904,0.8686348588970852,0.16954029746640015,0.013221290857168914,44.03906965255737
E_Champion_plus_Latents_and_Momentum,Champion + Neural Latents + Handcrafted Momentum,503,0.5969417195614541,0.8750692471024086,0.1720935717640635,0.6028877221324718,5971,9904,0.8674966589444308,0.16921470530476432,0.01681493146426125,527.2474255561829
