era,match_count,champion_accuracy,r4_accuracy,accuracy_difference,champion_correct,r4_correct,correct_diff,champion_log_loss,r4_log_loss,log_loss_difference
2015–2018,2613,0.5752009184845006,0.5771144278606966,0.0019135093761959432,1503,1508,5,0.9048248046173507,0.9034641080848721,0.0013606965324786113
2019–2022,3581,0.607092990784697,0.6110025132644513,0.0039095224797542905,2174,2188,14,0.8551424728678857,0.8553079451148585,-0.00016547224697283092
2023–2026,3710,0.6118598382749326,0.608355795148248,-0.0035040431266846195,2270,2257,-13,0.853757891112066,0.8535927711905812,0.00016511992148482424
