date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2017-10-07,Libya,DR Congo,1,2,FIFA World Cup qualification,Monastir,Tunisia,True,2,2,2,0,B_Regression_R4_Wrong,0.32015206188658807,0.2994064501519486,0.3804414879614634,0.3658513891860035,0.29902150952639667,0.33512710128759976
2017-10-07,Grenada,Guyana,1,0,Friendly,St. George's,Grenada,False,0,0,0,2,B_Regression_R4_Wrong,0.3660597461043069,0.29370146489034465,0.3402387890053484,0.27246254865695685,0.2653381907150903,0.4621992606279528
2017-11-09,Iran,Panama,2,1,Friendly,Graz,Austria,True,0,0,0,1,B_Regression_R4_Wrong,0.4033469635966184,0.34291096205402555,0.25374207434935603,0.3495373613651133,0.3522335670264952,0.2982290716083914
2017-11-10,Algeria,Nigeria,3,0,FIFA World Cup qualification,Constantine,Algeria,False,0,0,0,2,B_Regression_R4_Wrong,0.35817584068091063,0.3063550599612046,0.33546909935788477,0.34321970574701527,0.31207003762132507,0.3447102566316597
2017-12-05,Zanzibar,Rwanda,3,1,CECAFA Cup,Machakos,Kenya,True,0,0,0,2,B_Regression_R4_Wrong,0.379561169502073,0.2714916322708292,0.3489471982270977,0.26506632174527806,0.2668357893276271,0.46809788892709475
2018-04-08,Barawa,Chagos Islands,4,1,Friendly,London,England,False,0,0,0,2,B_Regression_R4_Wrong,0.4190231204057871,0.19174421224945626,0.3892326673447567,0.31601251798624036,0.22154982027393205,0.46243766173982764
2018-04-29,Ellan Vannin,Panjab,2,1,Friendly,Sandbach,England,True,0,0,0,2,B_Regression_R4_Wrong,0.47252116029390046,0.1846972090669865,0.34278163063911304,0.39413317156213157,0.20556636358218203,0.4003004648556865
2018-06-04,India,Kenya,3,0,Intercontinental Cup,Mumbai,India,False,0,0,0,2,B_Regression_R4_Wrong,0.36477677900368494,0.2817314013277613,0.35349181966855375,0.2754064824967596,0.2314596885378258,0.49313382896541474
2018-06-07,Tibet,Kabylia,1,8,CONIFA World Football Cup,Enfield,England,True,2,2,2,0,B_Regression_R4_Wrong,0.36274471304272243,0.14651032183177315,0.49074496512550436,0.48382998369013164,0.19622229362985455,0.3199477226800139
2018-06-10,India,Kenya,2,0,Intercontinental Cup,Mumbai,India,False,0,0,0,2,B_Regression_R4_Wrong,0.4253305216031347,0.27797559331293503,0.29669388508393013,0.34247128722470915,0.2539574703708029,0.40357124240448805
2018-06-12,Japan,Paraguay,4,2,Friendly,Innsbruck,Austria,True,0,0,0,2,B_Regression_R4_Wrong,0.3758335337877204,0.3344705963796494,0.28969586983263024,0.3435057459346008,0.29920957400078196,0.3572846800646172
2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,Samara,Russia,True,2,2,2,0,B_Regression_R4_Wrong,0.34249266460444117,0.2781951983366195,0.37931213705893924,0.36560892081063906,0.2774378021943042,0.35695327699505675
