architecture,val_accuracy,val_log_loss,val_norm_rps,val_ece,runtime_seconds
TRANSFORMER,0.5890594345066359,0.8923270495177658,0.17665064174825945,0.01868154256415776,84.09175205230713
GRU,0.5887939988459319,0.894784093100505,0.17730768964221405,0.008167495352204105,69.50727272033691
LSTM,0.5875476053087132,0.8954725947672919,0.17737312039442676,0.018225831851280475,70.02565860748291
