model_family,representation,val_accuracy,val_log_loss,val_norm_rps,val_ece
Logistic_Regression,Neural_Temporal_Matchup_Latents,0.5938257357184074,0.8827270427677506,0.1743679706644219,0.011903388791402982
HistGBDT,Neural_Temporal_Matchup_Latents,0.5915753029428736,0.885534523727272,0.17519057411453284,0.010737789903800253
LightGBM,Neural_Temporal_Matchup_Latents,0.5907097518753607,0.8873200363406073,0.1753639839745225,0.015438577359173932
XGBoost,Neural_Temporal_Matchup_Latents,0.5931909982688979,0.8858152517790311,0.17504703540709182,0.016438011794411084
CatBoost,Neural_Temporal_Matchup_Latents,0.5938834391229082,0.8859667421978061,0.17514589099973632,0.01668456631496511
