era,match_count,champion_accuracy,candidate_accuracy,accuracy_difference,champion_log_loss,candidate_log_loss,log_loss_difference
2015–2018,2613,0.5729047072330654,0.5759663222349789,0.003061615001913487,0.9051330365600457,0.9049607444052905,0.00017229215475522697
2019–2022,3581,0.6084892488131807,0.6135157777157219,0.005026528902541183,0.8552849396224574,0.8591248075885592,-0.0038398679661018065
2023–2026,3710,0.6110512129380054,0.6078167115902965,-0.0032345013477088624,0.8546459624333738,0.8556660700462256,-0.0010201076128518727
