ablation_group,n_features,val_accuracy,val_log_loss,val_norm_rps
Full_Candidate_R7,649,0.5970571263704558,0.8780092267280447,0.17281877109299462
Ablate_Temporal_Sequences,393,0.593133294864397,0.8776836389191189,0.1727536501226018
Ablate_Tactical_Identity,483,0.5958453548759377,0.8771193551148017,0.1725755062483231
Ablate_Tactical_Matchups,623,0.5975187536064628,0.8784218624980376,0.1728592064635022
Ablate_Squad_Quality_and_FIFA,639,0.5970571263704558,0.8780092267280447,0.17281877109299462
Ablate_Dixon_Coles_Probabilities,642,0.5959607616849394,0.878317329696191,0.17288226899657028
