variant,n_matches,accuracy,log_loss,brier,rps,ece,log_loss_ci,rps_ci,ece_ci
M0,2400,0.5345833333333333,0.9994592980203697,0.5887443446204911,0.41589466742929804,0.05092155892211096,"{'mean': 0.9994592980203697, 'ci_low': 0.9735921218256133, 'ci_high': 1.0241405972679278}","{'mean': 0.41589466742929804, 'ci_low': 0.4024792061847648, 'ci_high': 0.4288247985575302}","{'mean': 0.05092155892211096, 'ci_low': 0.03932467882381945, 'ci_high': 0.07078910854348815}"
M1,2400,0.5479166666666667,0.9860515503539757,0.582880908584441,0.4122707011402167,0.041792952526157764,"{'mean': 0.9860515503539757, 'ci_low': 0.9609420486100212, 'ci_high': 1.009866746032572}","{'mean': 0.4122707011402167, 'ci_low': 0.3992908053306646, 'ci_high': 0.4252051174851359}","{'mean': 0.041792952526157764, 'ci_low': 0.029735225436883193, 'ci_high': 0.06245671239629241}"
M2,2400,0.5433333333333333,0.9919532398943456,0.5860274699786513,0.41514743084703976,0.04415796226244022,"{'mean': 0.9919532398943456, 'ci_low': 0.9681064959436165, 'ci_high': 1.016146827860309}","{'mean': 0.41514743084703976, 'ci_low': 0.4023775110669001, 'ci_high': 0.428436013853613}","{'mean': 0.04415796226244022, 'ci_low': 0.032346308965826326, 'ci_high': 0.06429174263026399}"
