variant,n_matches,accuracy,log_loss,brier,rps,ece,log_loss_ci,rps_ci,ece_ci
M0-Frozen,2400,0.53125,1.0087117000109376,0.5957824846405982,0.4231093432843844,0.029759212028429922,"{'mean': 1.0087117000109376, 'ci_low': 0.9843778905045522, 'ci_high': 1.032012951752771}","{'mean': 0.4231093432843844, 'ci_low': 0.4111741293271951, 'ci_high': 0.4355816465821621}","{'mean': 0.029759212028429922, 'ci_low': 0.023736579601196146, 'ci_high': 0.05332278002320263}"
M0-Elo,2400,0.5383333333333333,1.000722008456059,0.5884784114943539,0.41536966595672115,0.04009277271670257,"{'mean': 1.000722008456059, 'ci_low': 0.9755563568162929, 'ci_high': 1.0254224958760125}","{'mean': 0.41536966595672115, 'ci_low': 0.40211228302228597, 'ci_high': 0.42840055329094295}","{'mean': 0.04009277271670257, 'ci_low': 0.032007323602819, 'ci_high': 0.06257334181872122}"
M0-Cap-1,2400,0.5341666666666667,1.0233864577070884,0.6023504172722356,0.42792944335202265,0.06474476281233067,"{'mean': 1.0233864577070884, 'ci_low': 0.9948910846834788, 'ci_high': 1.0507270996004225}","{'mean': 0.42792944335202265, 'ci_low': 0.414768712880965, 'ci_high': 0.44177632719287224}","{'mean': 0.06474476281233067, 'ci_low': 0.05337123965147041, 'ci_high': 0.0875979934380342}"
M0-Cap-3,2400,0.5420833333333334,1.0002787356301677,0.5889139657469384,0.4152231425972028,0.04975308352406657,"{'mean': 1.0002787356301677, 'ci_low': 0.9740873651908971, 'ci_high': 1.0243802561755353}","{'mean': 0.4152231425972028, 'ci_low': 0.4022697504440616, 'ci_high': 0.4278448273896597}","{'mean': 0.04975308352406657, 'ci_low': 0.036952505565105515, 'ci_high': 0.0709265297588592}"
M0-Cap-5,2400,0.54,1.0016024002987092,0.588593020867986,0.41494898975812605,0.05233746192558969,"{'mean': 1.0016024002987092, 'ci_low': 0.9742720824505561, 'ci_high': 1.0269371399734688}","{'mean': 0.41494898975812605, 'ci_low': 0.40149623946095037, 'ci_high': 0.42760697447393453}","{'mean': 0.05233746192558969, 'ci_low': 0.0379055309408628, 'ci_high': 0.07224020923475277}"
M0-Cap-10,2400,0.53875,0.9995886272107654,0.5883825314565215,0.41528633363206147,0.040188261065544184,"{'mean': 0.9995886272107654, 'ci_low': 0.9734859821186098, 'ci_high': 1.0243312866347685}","{'mean': 0.41528633363206147, 'ci_low': 0.40153026736872344, 'ci_high': 0.4281515330798657}","{'mean': 0.040188261065544184, 'ci_low': 0.03209025309042867, 'ci_high': 0.06168554372024477}"
M3-Adaptive,2400,0.5345833333333333,0.9994592980203697,0.5887443446204911,0.41589466742929804,0.05092155892211096,"{'mean': 0.9994592980203697, 'ci_low': 0.9735921218256133, 'ci_high': 1.0241405972679278}","{'mean': 0.41589466742929804, 'ci_low': 0.4024792061847648, 'ci_high': 0.4288247985575302}","{'mean': 0.05092155892211096, 'ci_low': 0.03932467882381945, 'ci_high': 0.07078910854348815}"
