actual_code,actual_class,pred_code,pred_class,is_correct,prob_away,prob_draw,prob_home,max_prob,prob_margin,entropy,elo_home,elo_away,elo_diff,elo_diff_abs,elo_ratio,expected_home_score,expected_away_score,is_neutral,is_friendly,h2h_matches,h2h_win_rate_home,h2h_gd_home,home_rest_days,away_rest_days,rest_diff,diff_pts_5,diff_gd_5,diff_opp_gd_5,diff_pts_20,diff_gd_20,diff_opp_gd_20,home_surprise,away_surprise,home_consistency,away_consistency
1,Draw,0,Away,0,0.3905231429583548,0.3186459807349254,0.2908308763067197,0.3905231429583548,0.07187716222342938,1.0908037562522999,1656.645775681805,1688.7518996444958,32.893876037309155,32.106123962690845,1.0194782170455197,0.5471971585761688,0.4528028414238312,0.0,1.0,2.0,0.22800000000000004,-0.6,60.0,60.0,0.0,-1.2,-0.5999999999999999,-0.7309861395418726,0.10000000000000009,0.6,0.45777040883202513,0.45384598044280655,0.2930195669123756,0.0423522378189606,0.7348864134791584
1,Draw,2,Home,0,0.28627524975809765,0.3180464769384294,0.39567827330347294,0.39567827330347294,0.07763179636504353,1.0892687549234927,1745.3168762501202,1945.2205967146972,-134.90372046457696,199.90372046457696,0.9306486263345056,0.31505997992638607,0.684940020073614,0.0,1.0,4.0,0.3057142857142857,-0.7142857142857143,33.0,60.0,-27.0,-1.0,-0.5999999999999999,-0.8679254991322469,-0.7499999999999998,-1.0,-1.2589030820604177,0.14774257960890103,0.5243336136439027,0.2118946650937902,0.8314386429410817
1,Draw,2,Home,0,0.31678189641412907,0.3262928796153468,0.3569252239705241,0.3569252239705241,0.03063234435517731,1.0973036684328257,1745.511574267227,1881.3290481993986,-70.81747393217165,135.81747393217165,0.9623577417252179,0.39947378567800984,0.6005262143219902,0.0,1.0,9.0,0.34500000000000003,-0.3333333333333333,60.0,60.0,0.0,-0.3999999999999999,-1.6,-1.2767714680398707,-0.44999999999999996,-1.6,-1.4241587694111195,0.2926087715427633,0.16707818781596495,0.25892520688802695,0.6131366715017921
1,Draw,2,Home,0,0.33974854054461856,0.29078528848448654,0.36946617097089485,0.36946617097089485,0.029717630426276287,1.0938206995304378,1238.5458236129841,1393.6411931696086,-90.09536955662452,155.09536955662452,0.9353525355032615,0.3731724922139323,0.6268275077860677,0.0,1.0,12.0,0.14266666666666666,-3.8,60.0,60.0,0.0,1.2000000000000002,2.4000000000000004,1.95422340191479,0.0,0.5500000000000002,0.5061857304555956,0.3595500771663571,0.41451259637129567,0.5991923388862064,0.7838332603981071
0,Away,0,Away,1,0.6322557369261742,0.23087884504954617,0.1368654180242795,0.6322557369261742,0.40137689187662806,0.9004934517261746,1807.9988520510356,1685.899679851237,187.09917219979866,122.09917219979866,1.1109788289516185,0.7459314156295402,0.25406858437045976,0.0,1.0,4.0,0.5914285714285715,1.0,7.0,35.0,-28.0,-0.5999999999999999,-2.4,-1.4515590662084525,-0.55,-0.9500000000000002,-0.4874887412310487,0.1634299308396685,0.46708915380068994,0.36525588678246407,0.06981435548580074
0,Away,2,Home,0,0.2855419913918666,0.23920308302376248,0.47525492558437094,0.47525492558437094,0.18971293419250435,1.0535989082081496,1371.8868944146911,1445.1576942289366,-73.27079981424549,73.27079981424549,0.9492990971802983,0.3960907399834928,0.6039092600165072,1.0,1.0,0.0,0.38,0.0,5.0,2.0,3.0,-0.5999999999999999,-2.4000000000000004,-2.0946285154121616,0.20000000000000007,0.3999999999999999,0.1955850258424745,0.1829119843759469,0.39634398094551093,0.5666653542800453,1.0
0,Away,0,Away,1,0.5966318748979276,0.2587149914581088,0.14465313364396357,0.5966318748979276,0.3379168834398188,0.9375982461492197,1654.3703503865527,1552.4426711376157,166.927679248937,101.92767924893701,1.1075258251737012,0.7233045586107201,0.27669544138927993,0.0,0.0,10.0,0.3184615384615385,-0.6923076923076923,6.0,5.0,1.0,1.0,1.4,1.3399530793538443,0.15000000000000013,0.09999999999999998,0.21465190977568016,0.13117757317214596,0.133856641143419,0.02539527484314067,0.5612469015755603
2,Home,2,Home,1,0.23893733613606502,0.3035490668511892,0.4575135970127457,0.4575135970127457,0.15396453016155648,1.0616986824641739,1477.7733161935316,1769.4807035615765,-226.70738736804492,291.7073873680449,0.8718791412012956,0.2133192525657059,0.7866807474342941,0.0,1.0,7.0,0.21400000000000002,-0.9,60.0,42.0,18.0,-1.2000000000000002,-0.6000000000000001,-0.704301076303552,-1.45,-1.4,-1.5021909289482043,0.058097961693313716,0.2870944288480485,1.0,0.19086765300124847
2,Home,0,Away,0,0.3903849709319432,0.30534880574429035,0.30426622332376646,0.3903849709319432,0.08503616518765283,1.0914719549844185,1619.3626794738302,1684.9928471998014,-0.6301677259712051,65.6301677259712,0.999626011631433,0.4990931167370327,0.5009068832629673,0.0,1.0,1.0,0.28500000000000003,-0.25,60.0,5.0,55.0,-0.7999999999999999,-1.2,-1.1269702059565887,-0.9,-1.35,-1.078998722214854,0.1458660398303102,0.1993971936875435,0.3234600403132498,0.009737824825948512
0,Away,0,Away,1,0.6230845365635078,0.2402420483154201,0.1366734151210721,0.6230845365635078,0.38284248824808775,0.9093778095201813,1675.295915529661,1556.617417994453,183.67849753520795,118.67849753520795,1.117998485313019,0.7421815865631812,0.25781841343681877,0.0,1.0,6.0,0.5711111111111111,0.6666666666666666,29.0,30.0,-1.0,0.4,0.4,0.47103226242196905,-0.10000000000000009,-0.050000000000000155,-0.032501846845693017,0.16601841866881095,0.5550748301206399,0.6946658046534878,1.0
