favorite,underdog,elo_gap,upset_count
Canada,South Africa,175,1
Belgium,Tunisia,240,1
Colombia,Iraq,360,1
Colombia,Norway,215,1
Colombia,Qatar,390,1
Colombia,South Africa,370,1
Colombia,South Korea,190,1
Ecuador,New Zealand,360,1
Ecuador,Jordan,260,1
Ecuador,Ghana,180,1
Ecuador,Haiti,340,1
Germany,Czechia,230,1
Colombia,Cabo Verde,350,1
Colombia,Curaçao,470,1
Colombia,IR Iran,170,1
Germany,Türkiye,190,1
Argentina,Türkiye,370,1
Argentina,Uruguay,190,1
Argentina,Uzbekistan,500,1
Germany,Saudi Arabia,310,1
Germany,Paraguay,245,1
Germany,South Korea,170,1
Argentina,Senegal,310,1
Spain,Czechia,380,1
Portugal,Switzerland,150,1
Portugal,Qatar,410,1
Portugal,South Korea,210,1
Portugal,Sweden,195,1
South Korea,Haiti,270,1
South Korea,Bosnia and Herzegovina,155,1
IR Iran,Haiti,290,1
Mexico,Uzbekistan,160,1
Mexico,Saudi Arabia,150,1
Mexico,Iraq,180,1
Mexico,Jordan,200,1
Mexico,Haiti,280,1
IR Iran,South Africa,200,1
Mexico,Bosnia and Herzegovina,165,1
Portugal,Cabo Verde,370,1
Portugal,Curaçao,490,1
Portugal,Canada,215,1
Portugal,Australia,220,1
Portugal,Côte d'Ivoire,260,1
Portugal,Haiti,480,1
Portugal,Egypt,280,1
Portugal,Jordan,400,1
Portugal,New Zealand,500,1
Mexico,Curaçao,290,1
Spain,Bosnia and Herzegovina,475,1
South Korea,Qatar,200,1
South Korea,Jordan,190,1
South Korea,South Africa,180,1
Spain,Algeria,360,1
Spain,Austria,290,1
Spain,Belgium,170,1
South Korea,Iraq,170,1
Spain,South Africa,500,1
Spain,South Korea,320,1
Spain,IR Iran,300,1
Spain,Mexico,310,1
Argentina,Haiti,620,1
Argentina,Ghana,460,1
Spain,Türkiye,340,1
Spain,USA,270,1
Argentina,Paraguay,425,1
Argentina,Panama,470,1
Argentina,Norway,375,1
Argentina,New Zealand,640,1
Switzerland,South Africa,240,1
Spain,Uzbekistan,470,1
Switzerland,Qatar,260,1
Türkiye,South Africa,160,1
Türkiye,New Zealand,270,1
Türkiye,Jordan,170,1
Türkiye,Curaçao,260,1
USA,New Zealand,340,1
USA,Ghana,160,1
USA,Curaçao,330,1
Uruguay,Saudi Arabia,300,1
