matchup_possession_diff,matchup_directness_diff,matchup_pressing_diff,matchup_tempo_diff,matchup_width_diff,tactical_h_press_vs_a_possession,tactical_a_press_vs_h_possession,tactical_h_direct_vs_a_compact,tactical_a_direct_vs_h_compact,tactical_width_vs_backline_diff,inter_continuity_x_tactical_stab,inter_replacement_x_formation_changed,inter_star_reliance_x_possession
3.0,1.1999999999999957,17.0,1.2000000000000028,0.0,1.2096,0.9384,0.8049599999999999,0.912,-0.15000000000000002,0.49199999999999994,0.0,0.0
9.0,2.3999999999999986,35.0,-2.799999999999997,0.0,1.1592,0.6160000000000001,0.58776,0.936,-0.15000000000000002,0.82,0.0,0.0
-3.0,-0.6000000000000014,-4.0,-1.6000000000000014,0.0,1.4080000000000001,1.4144,0.97344,0.98592,-0.7,0.0,0.0,0.0
-5.0,-1.1999999999999957,-16.0,-1.6000000000000014,0.0,1.0584,1.274,0.9302400000000001,0.8423999999999999,-0.7,0.0,0.0,0.0
-3.0,-0.6000000000000014,-20.0,3.200000000000003,0.0,0.4224,0.756,0.684,0.43776,-0.44999999999999996,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.864,0.936,1.1,1.1,-0.44999999999999996,0.82,0.0,0.0
3.0,0.6000000000000014,21.0,-3.5999999999999943,0.0,0.756,0.40319999999999995,0.38304,0.648,-0.15000000000000002,0.164,0.0,0.0
-6.0,-1.2000000000000028,-35.0,10.0,0.0,0.44880000000000003,1.026,0.936,0.40656000000000003,-0.30000000000000004,0.82,0.0,0.0
-9.0,-1.7999999999999972,-43.0,3.6000000000000085,0.0,0.5184,1.2060000000000002,0.9,0.44927999999999996,-0.7,0.0,0.0,0.0
1.0,0.6000000000000014,8.0,6.399999999999999,0.0,1.5052,1.3608,0.98592,0.8985599999999999,-0.15000000000000002,0.656,0.0,0.0
-2.0,0.0,-8.0,5.600000000000001,0.0,1.0608,1.18,0.9424800000000001,0.7392000000000001,-0.30000000000000004,0.328,0.0,0.0
3.0,0.5999999999999943,16.0,0.7999999999999972,0.0,1.36,1.1024,0.7675199999999999,0.88704,-0.15000000000000002,0.49199999999999994,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.864,0.936,1.1,1.1,-0.44999999999999996,0.0,0.0,0.0
7.0,1.2000000000000028,34.0,-9.600000000000009,0.0,1.026,0.47840000000000005,0.38808,0.9,-0.15000000000000002,0.328,0.0,0.0
