date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2021-03-25,South Africa,Ghana,1,1,African Cup of Nations qualification,Johannesburg,South Africa,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3623192219285904,0.34441860088074666,0.2932621771906629,0.354240023505117,0.35863438311317813,0.28712559338170485
2021-03-27,Nepal,Bangladesh,0,0,Friendly,Kathmandu,Nepal,False,1,1,0,1,C_Rescued_Candidate_Correct,0.38966563434317825,0.3623108784555693,0.2480234872012525,0.3590848959484145,0.3901109200291371,0.2508041840224483
2021-07-11,England,Italy,1,1,UEFA Euro,London,England,False,1,1,0,1,C_Rescued_Candidate_Correct,0.42050062618468154,0.34818873097654385,0.23131064283877456,0.3706806063583811,0.4109619663565133,0.2183574272851056
2021-09-03,Zimbabwe,South Africa,0,0,FIFA World Cup qualification,Harare,Zimbabwe,False,1,1,0,1,C_Rescued_Candidate_Correct,0.34657439439422133,0.33614762932090814,0.3172779762848705,0.33832364878855437,0.3549275316732335,0.30674881953821204
2022-03-28,Andorra,Grenada,1,0,Friendly,Andorra la Vella,Andorra,False,0,0,2,0,C_Rescued_Candidate_Correct,0.3485662119198451,0.2784389281508908,0.3729948599292641,0.3810683122710034,0.27757752399967117,0.3413541637293254
2022-03-29,Congo,Sierra Leone,1,2,Friendly,Antalya,Turkey,True,2,2,0,2,C_Rescued_Candidate_Correct,0.36965197592947097,0.26337576949129915,0.36697225457922983,0.3692964510297859,0.24832830800982572,0.3823752409603884
2022-03-29,Saudi Arabia,Australia,1,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,0,0,2,0,C_Rescued_Candidate_Correct,0.33372785920793907,0.3242237161965914,0.3420484245954695,0.34619317268738425,0.32030261497174783,0.33350421234086786
2022-03-29,Azerbaijan,Latvia,0,1,Friendly,Ta' Qali,Malta,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3566803144920826,0.29697587171080714,0.3463438137971102,0.3483394067687874,0.29839754122325335,0.35326305200795927
2022-06-04,Montenegro,Romania,2,0,UEFA Nations League,Podgorica,Montenegro,False,0,0,2,0,C_Rescued_Candidate_Correct,0.340390139697289,0.318607943074721,0.3410019172279899,0.3463706112744862,0.32076068793863416,0.33286870078687963
2022-06-06,Aruba,Saint Martin,3,0,CONCACAF Nations League,Willemstad,Curaçao,True,0,0,2,0,C_Rescued_Candidate_Correct,0.3631730232020303,0.20061166669351735,0.4362153101044523,0.383209209845925,0.24802364250544925,0.3687671476486257
2022-09-23,Morocco,Chile,2,0,Friendly,Barcelona,Spain,True,0,0,2,0,C_Rescued_Candidate_Correct,0.3402281624868128,0.3182396963787612,0.341532141134426,0.34751655725034825,0.32063062520924196,0.33185281754040985
2023-01-28,United States,Colombia,0,0,Friendly,Carson,United States,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3515831687141921,0.33632692994823,0.31208990133757797,0.3302996355738342,0.3388494229317129,0.3308509414944529
2023-03-27,South Sudan,Congo,0,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,True,2,2,0,2,C_Rescued_Candidate_Correct,0.37018083393354023,0.27718934930002326,0.3526298167664364,0.34720147237568155,0.2877333449916052,0.3650651826327133
2023-07-07,Mauritius,Lesotho,0,2,COSAFA Cup,Durban,South Africa,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3768578891924528,0.2748889396017143,0.34825317120583293,0.34194418677943306,0.28272481541127525,0.3753309978092917
2023-09-07,Sint Maarten,Saint Lucia,1,5,CONCACAF Nations League,Willemstad,Curaçao,True,2,2,0,2,C_Rescued_Candidate_Correct,0.4418138094243009,0.16274243497848695,0.3954437555972122,0.4065140826461141,0.17588049342545053,0.41760542392843525
2023-09-07,Bangladesh,Afghanistan,1,1,Friendly,Dhaka,Bangladesh,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3803651382170758,0.34654804710476955,0.2730868146781547,0.35621821058521386,0.36494779598600974,0.27883399342877646
2024-02-03,Iran,Japan,2,1,AFC Asian Cup,Al Rayyan,Qatar,True,0,0,2,0,C_Rescued_Candidate_Correct,0.30111773636379185,0.27612261546988504,0.4227596481663231,0.3528191247087557,0.3053905152236392,0.3417903600676051
2024-02-03,Qatar,Uzbekistan,1,1,AFC Asian Cup,Al Khor,Qatar,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3623473090137681,0.33797864414278067,0.29967404684345117,0.3477093782493986,0.35203364481716043,0.3002569769334409
2024-03-22,Armenia,Kosovo,0,1,Friendly,Yerevan,Armenia,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3741209355085516,0.270270931341574,0.35560813314987444,0.3514848758302402,0.2535859489230561,0.3949291752467036
