home_formation_backline_count,home_formation_midfield_count,home_formation_forward_count,home_formation_width_idx,home_formation_changed,home_formation_stability_5,home_formation_stability_10,home_formation_entropy,away_formation_backline_count,away_formation_midfield_count,away_formation_forward_count,away_formation_width_idx,away_formation_changed,away_formation_stability_5,away_formation_stability_10,away_formation_entropy,inter_replacement_x_formation_changed
4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,0.0
4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,0.0
4.0,5.0,1.0,0.55,1.0,0.5,0.5,0.2,4.0,5.0,1.0,0.55,1.0,0.5,0.5,0.2,0.0
4.0,5.0,1.0,0.55,1.0,0.3333333333333333,0.3333333333333333,0.2,4.0,5.0,1.0,0.55,1.0,0.3333333333333333,0.3333333333333333,0.2,0.0
4.0,5.0,1.0,0.55,0.0,0.5,0.5,0.2,4.0,5.0,1.0,0.55,0.0,0.5,0.5,0.2,0.0
4.0,5.0,1.0,0.55,1.0,0.4,0.4,1.0549201679831441,4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,0.0
4.0,5.0,1.0,0.55,1.0,0.4,0.4,1.0549201679831441,4.0,5.0,1.0,0.55,1.0,0.2,0.3333333333333333,1.0114042647043517,0.0
4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.2,4.0,5.0,1.0,0.55,1.0,0.2,0.2857142857142857,0.9556998911095345,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.625,0.9002560512655369,4.0,3.0,3.0,0.85,1.0,0.2,0.16666666666666666,1.0114042647043517,0.0
4.0,3.0,3.0,0.85,0.0,1.0,0.6666666666666666,0.8486855577234171,4.0,3.0,3.0,0.85,1.0,0.0,0.0,0.2,0.0
4.0,5.0,1.0,0.55,1.0,0.2,0.2857142857142857,0.9556998911095345,4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.2,0.0
4.0,4.0,2.0,0.7,1.0,0.6,0.5,1.039720770836918,4.0,4.0,2.0,0.7,1.0,0.0,0.1,0.8018185525403373,0.0
4.0,4.0,2.0,0.7,0.0,1.0,1.0,0.2,4.0,4.0,2.0,0.7,0.0,0.2,0.2,0.8018185525403373,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,0.0,0.4,0.3333333333333333,1.0608569471550215,0.0
4.0,5.0,1.0,0.55,1.0,0.0,0.0,-1.000088900581841e-12,4.0,5.0,1.0,0.55,1.0,0.0,0.2,1.0296530140615736,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,1.0,0.0,0.0,-1.000088900581841e-12,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.4,0.9433483923260392,4.0,3.0,3.0,0.85,1.0,0.0,0.0,-1.000088900581841e-12,0.0
4.0,4.0,2.0,0.7,0.0,0.4,0.6,0.8979457248537798,4.0,4.0,2.0,0.7,1.0,0.2,0.1,0.32508297338944825,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.3767701612544368,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,4.0,5.0,1.0,0.55,1.0,0.0,0.1,0.8979457248537798,0.0
4.0,4.0,2.0,0.7,0.0,0.8,0.8888888888888888,0.3488320958410319,4.0,4.0,2.0,0.7,0.0,1.0,1.0,0.2,0.0
