home_formation_backline_count,home_formation_midfield_count,home_formation_forward_count,home_formation_width_idx,home_formation_changed,home_formation_stability_5,home_formation_stability_10,home_formation_entropy,away_formation_backline_count,away_formation_midfield_count,away_formation_forward_count,away_formation_width_idx,away_formation_changed,away_formation_stability_5,away_formation_stability_10,away_formation_entropy,inter_replacement_x_formation_changed
4.0,3.0,3.0,0.85,0.0,1.0,0.9,0.32508297338944825,4.0,3.0,3.0,0.85,0.0,0.4,0.4,0.6730116670072565,0.0
4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.5004024235361879,4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.6730116670072565,0.0
4.0,3.0,3.0,0.85,0.0,1.0,0.9,0.32508297338944825,4.0,3.0,3.0,0.85,0.0,0.6,0.3,0.6108643020528935,0.0
4.0,3.0,3.0,0.85,1.0,0.2,0.4,0.6730116670072565,4.0,3.0,3.0,0.85,1.0,0.6,0.3,0.6108643020528935,0.0
4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.6931471805579453,4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.2,0.0
4.0,4.0,2.0,0.7,1.0,0.4,0.5,0.6931471805579453,4.0,4.0,2.0,0.7,1.0,0.0,0.1,0.32508297338944825,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.6108643020528935,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,3.0,3.0,0.85,1.0,0.0,0.0,0.2,4.0,3.0,3.0,0.85,1.0,0.4,0.3,0.6108643020528935,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.2,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,5.0,1.0,0.55,0.0,0.2,0.1,0.8979457248537798,4.0,5.0,1.0,0.55,1.0,0.2,0.2,0.5004024235361879,0.0
4.0,5.0,1.0,0.55,1.0,0.2,0.16666666666666666,0.4505612088643047,4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.6730116670072565,0.0
4.0,3.0,3.0,0.85,0.0,1.0,1.0,-1.000088900581841e-12,4.0,3.0,3.0,0.85,0.0,0.6,0.5,0.6931471805579453,0.0
4.0,5.0,1.0,0.55,1.0,0.2,0.1,0.9433483923260392,4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.6730116670072565,0.0
4.0,3.0,3.0,0.85,0.0,1.0,1.0,-1.000088900581841e-12,4.0,3.0,3.0,0.85,1.0,0.2,0.4,0.9433483923260392,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.5,0.6931471805579453,4.0,3.0,3.0,0.85,1.0,0.0,0.0,0.41011631828640904,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.6,0.6730116670072565,4.0,3.0,3.0,0.85,1.0,0.2,0.3,0.8979457248537798,0.0
4.0,3.0,3.0,0.85,0.0,1.0,1.0,-1.000088900581841e-12,4.0,3.0,3.0,0.85,1.0,0.0,0.0,0.3767701612544368,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.9433483923260392,5.0,3.0,2.0,0.55,1.0,0.0,0.0,-1.000088900581841e-12,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,1.0296530140615736,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,5.0,1.0,0.55,1.0,0.0,0.1111111111111111,0.3488320958410319,4.0,5.0,1.0,0.55,1.0,0.2,0.2,0.9502705392302345,0.0
4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,4.0,5.0,1.0,0.55,0.0,1.0,1.0,0.2,0.0
4.0,3.0,3.0,0.85,0.0,0.2,0.2,0.9502705392302345,4.0,3.0,3.0,0.85,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,4.0,2.0,0.7,0.0,1.0,0.9,0.32508297338944825,4.0,4.0,2.0,0.7,1.0,0.2,0.3,1.0296530140615736,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.9,0.32508297338944825,4.0,3.0,3.0,0.85,0.0,0.6,0.6,0.9502705392302345,0.0
4.0,4.0,2.0,0.7,1.0,0.4,0.5,1.0296530140615736,4.0,4.0,2.0,0.7,1.0,0.0,0.2,1.0296530140615736,0.0
4.0,3.0,3.0,0.85,1.0,0.6,0.8,0.5004024235361879,4.0,3.0,3.0,0.85,1.0,0.4,0.3,1.0296530140615736,0.0
4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.2,4.0,5.0,1.0,0.55,1.0,0.0,0.0,0.2,0.0
4.0,3.0,3.0,0.85,0.0,0.4,0.5,1.0296530140615736,4.0,3.0,3.0,0.85,1.0,0.0,0.0,0.32508297338944825,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.8,0.5004024235361879,4.0,3.0,3.0,0.85,1.0,0.0,0.0,-1.000088900581841e-12,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.6,0.8979457248537798,4.0,3.0,3.0,0.85,1.0,0.4,0.3,1.0296530140615736,0.0
4.0,4.0,2.0,0.7,0.0,1.0,1.0,-1.000088900581841e-12,4.0,4.0,2.0,0.7,0.0,0.6,0.6,0.8979457248537798,0.0
4.0,4.0,2.0,0.7,1.0,0.0,0.1,0.8979457248537798,4.0,4.0,2.0,0.7,1.0,0.0,0.0,0.5004024235361879,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.8018185525403373,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.5004024235361879,0.0
4.0,3.0,3.0,0.85,1.0,0.6,0.6,0.8979457248537798,4.0,3.0,3.0,0.85,1.0,0.0,0.2,0.8018185525403373,0.0
4.0,3.0,3.0,0.85,1.0,0.0,0.2,0.8018185525403373,4.0,3.0,3.0,0.85,0.0,0.2,0.1,0.32508297338944825,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.5004024235361879,4.0,3.0,3.0,0.85,0.0,0.2,0.3,0.6108643020528935,0.0
4.0,3.0,3.0,0.85,0.0,1.0,0.8,0.5004024235361879,4.0,3.0,3.0,0.85,0.0,0.8,0.6,0.8979457248537798,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.8018185525403373,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.8979457248537798,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,1.0,0.5,0.5,0.2,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.7,0.8018185525403373,4.0,3.0,3.0,0.85,1.0,0.2,0.3,0.6108643020528935,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,1.0,0.2,0.1,0.32508297338944825,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,1.0,0.2,0.1,0.32508297338944825,0.0
4.0,4.0,2.0,0.7,1.0,0.0,0.1,0.6390318596471769,4.0,4.0,2.0,0.7,1.0,0.2,0.1,0.6390318596471769,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.5004024235361879,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,0.0
