date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2016-03-29,Switzerland,Bosnia and Herzegovina,0,2,Friendly,Zürich,Switzerland,False,2,2,0,0,D_Both_Wrong,0.5364529918303048,0.26766967801041086,0.19587733015928427,0.5001126616975152,0.28652500302022055,0.21336233528226417
2016-03-29,Sweden,Czech Republic,1,1,Friendly,Solna,Sweden,False,1,1,0,0,D_Both_Wrong,0.4851467557426599,0.2976885503458121,0.21716469391152807,0.4693200845856341,0.31160770195330245,0.2190722134610634
2016-03-29,Suriname,Guadeloupe,3,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,False,0,0,0,0,A_Both_Correct,0.45251106864675433,0.24591260533425244,0.30157632601899315,0.44766877882777234,0.25281830072891326,0.2995129204433144
2016-03-29,Sudan,Ivory Coast,1,1,African Cup of Nations qualification,Omdurman,Sudan,False,1,1,2,2,D_Both_Wrong,0.1086324061674106,0.25272661713838424,0.6386409766942052,0.0915753665982488,0.2532436595188732,0.655180973882878
2016-03-29,Uganda,Burkina Faso,0,0,African Cup of Nations qualification,Kampala,Uganda,False,1,1,0,0,D_Both_Wrong,0.620288628174319,0.2749345224938077,0.10477684933187334,0.6087538570603032,0.28182535131818887,0.10942079162150796
2016-03-29,Malawi,Guinea,1,2,African Cup of Nations qualification,Blantyre,Malawi,False,2,2,2,2,A_Both_Correct,0.28654276052069044,0.3209653543040623,0.3924918851752472,0.2856898079551975,0.32399879348644955,0.39031139855835295
2016-03-29,Liberia,Djibouti,5,0,African Cup of Nations qualification,Monrovia,Liberia,False,0,0,0,0,A_Both_Correct,0.9610677735373792,0.026804646633107835,0.012127579829512871,0.9634768257955814,0.02598870427243238,0.010534469931986245
2016-03-29,Luxembourg,Albania,0,2,Friendly,Luxembourg,Luxembourg,False,2,2,2,2,A_Both_Correct,0.15018974400055107,0.1888214228620599,0.660988833137389,0.13824848126638326,0.17668716672507392,0.6850643520085428
2016-03-29,Afghanistan,Singapore,2,1,FIFA World Cup qualification,Tehran,Iran,True,0,0,2,2,D_Both_Wrong,0.32439672645239115,0.19657056565104725,0.4790327078965616,0.2979185987786157,0.17890951237810773,0.5231718888432765
2016-03-29,Angola,DR Congo,0,2,African Cup of Nations qualification,Luanda,Angola,False,2,2,0,0,D_Both_Wrong,0.41473750628968087,0.3380715517372103,0.24719094197310879,0.4087197462216179,0.35142488701854496,0.23985536675983718
