date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2020-11-16,Botswana,Zambia,1,0,African Cup of Nations qualification,Francistown,Botswana,False,0,0,0,1,B_Regression_Candidate_Wrong,0.348695032092222,0.3406145206012979,0.3106904473064801,0.34455825151177255,0.3498002799231561,0.3056414685650713
2021-03-25,Libya,Tunisia,2,5,African Cup of Nations qualification,Benina,Libya,False,2,2,2,1,B_Regression_Candidate_Wrong,0.292187835495174,0.3500233282769628,0.3577888362278631,0.280853610391445,0.36003626784260895,0.35911012176594603
2021-03-27,Benin,Nigeria,0,1,African Cup of Nations qualification,Porto-Novo,Benin,False,2,2,2,0,B_Regression_Candidate_Wrong,0.33580345784462395,0.32588747013684793,0.33830907201852806,0.3501600254104708,0.3293606739219306,0.32047930066759855
2021-03-29,Nepal,Bangladesh,2,1,Friendly,Kathmandu,Nepal,False,0,0,0,1,B_Regression_Candidate_Wrong,0.3599825205044625,0.3577119637096387,0.28230551578589874,0.31623493150002074,0.39559736743823926,0.28816770106173994
2021-03-30,Guinea-Bissau,Congo,3,0,African Cup of Nations qualification,Bissau,Guinea-Bissau,False,0,0,0,2,B_Regression_Candidate_Wrong,0.3604116599286403,0.3011477915373335,0.33844054853402616,0.34941191278160505,0.2983958538408454,0.35219223337754957
2021-06-12,Haiti,Canada,0,1,FIFA World Cup qualification,Port-au-Prince,Haiti,False,2,2,2,0,B_Regression_Candidate_Wrong,0.35275542832911566,0.2941959240427483,0.35304864762813604,0.3478524336781752,0.31006588593355966,0.34208168038826514
2021-07-14,Mozambique,Namibia,1,0,COSAFA Cup,Port Elizabeth,South Africa,True,0,0,0,2,B_Regression_Candidate_Wrong,0.353820563605862,0.2986388045266867,0.3475406318674513,0.34913262904678943,0.30088441286041123,0.3499829580927992
2021-09-04,Haiti,Jordan,2,0,Friendly,Riffa,Bahrain,True,0,0,0,2,B_Regression_Candidate_Wrong,0.3763611048530044,0.25293510026372495,0.3707037948832706,0.3485768574294335,0.25215933532352086,0.3992638072470457
2021-10-09,Finland,Ukraine,1,2,FIFA World Cup qualification,Helsinki,Finland,False,2,2,2,0,B_Regression_Candidate_Wrong,0.33078555511477037,0.3214971441930979,0.34771730069213164,0.34426371469006956,0.31358663755641725,0.34214964775351314
2021-10-10,Venezuela,Ecuador,2,1,FIFA World Cup qualification,Caracas,Venezuela,False,0,0,0,2,B_Regression_Candidate_Wrong,0.34155889333604034,0.33111120340685696,0.32732990325710265,0.32381441004876693,0.3361747456119069,0.3400108443393261
2021-11-12,United States,Mexico,2,0,FIFA World Cup qualification,Cincinnati,United States,False,0,0,0,1,B_Regression_Candidate_Wrong,0.34689588453063086,0.33279292752941764,0.3203111879399515,0.33595682760959844,0.3454316799039367,0.31861149248646486
2022-01-29,Nepal,Mauritius,1,0,Friendly,Kathmandu,Nepal,False,0,0,0,1,B_Regression_Candidate_Wrong,0.3523846007453773,0.32611204353864487,0.32150335571597793,0.3356880538254591,0.33876005063221476,0.3255518955423262
2022-02-01,Nepal,Mauritius,1,0,Friendly,Kathmandu,Nepal,False,0,0,0,1,B_Regression_Candidate_Wrong,0.4060656647243137,0.3599486903364647,0.23398564493922147,0.37534546989262935,0.3842612946875977,0.24039323541977306
2022-03-24,Maldives,Bangladesh,2,0,Friendly,Malé,Maldives,False,0,0,0,1,B_Regression_Candidate_Wrong,0.397425562896003,0.3488084108400348,0.2537660262639622,0.35716482020503226,0.371926501455342,0.27090867833962573
2022-06-02,Barbados,Antigua and Barbuda,0,1,CONCACAF Nations League,Gros Islet,Saint Lucia,True,2,2,2,0,B_Regression_Candidate_Wrong,0.3835366592186421,0.2063019755336343,0.4101613652477236,0.4014341792581497,0.2092992364933987,0.3892665842484517
2022-06-19,Aymara,Maule Sur,0,1,CONIFA South America Football Cup,Linares,Chile,True,2,2,2,0,B_Regression_Candidate_Wrong,0.3606396812801637,0.2089353604319701,0.43042495828786614,0.4273720599809972,0.1767152498410052,0.3959126901779976
2023-01-16,Bahrain,Oman,0,1,Gulf Cup,Basra,Iraq,True,2,2,2,0,B_Regression_Candidate_Wrong,0.34379869318639283,0.30564312318947545,0.35055818362413166,0.3501694411888393,0.30059739267645835,0.34923316613470234
2023-06-14,Malaysia,Solomon Islands,4,1,Friendly,Terengganu,Malaysia,False,0,0,0,2,B_Regression_Candidate_Wrong,0.38475988067527306,0.2433785879752054,0.37186153134952155,0.356656114528736,0.24826492384749296,0.3950789616237711
2023-06-25,Bangladesh,Maldives,3,1,SAFF Cup,Bengaluru,India,True,0,0,0,2,B_Regression_Candidate_Wrong,0.3603803385021866,0.30082302773771874,0.33879663376009467,0.3200746002628497,0.3390845629072564,0.3408408368298939
2023-11-21,Romania,Switzerland,1,0,UEFA Euro qualification,Bucharest,Romania,False,0,0,0,1,B_Regression_Candidate_Wrong,0.37363568566451966,0.35298377149482685,0.2733805428406535,0.3554235475102351,0.36950631213810414,0.2750701403516608
2023-11-21,Saint Vincent and the Grenadines,Belize,3,0,CONCACAF Nations League,Saint George's,Saint Vincent and the Grenadines,False,0,0,0,2,B_Regression_Candidate_Wrong,0.40646938620724327,0.24058602181345057,0.35294459197930617,0.3468903592043569,0.25967548182923766,0.3934341589664055
2024-03-22,Chad,Mauritius,1,0,African Cup of Nations qualification,Yaoundé,Cameroon,True,0,0,0,2,B_Regression_Candidate_Wrong,0.3678460842113745,0.27160076659273746,0.360553149195888,0.35271338108140327,0.2870651086520667,0.36022151026653004
2024-06-11,South Sudan,Sudan,0,3,FIFA World Cup qualification,Juba,South Sudan,False,2,2,2,0,B_Regression_Candidate_Wrong,0.33843990058678375,0.3012341376084701,0.36032596180474613,0.3695462835886379,0.2850608283142542,0.3453928880971078
2024-09-04,Gibraltar,Andorra,1,0,Friendly,Gibraltar,Gibraltar,False,0,0,0,2,B_Regression_Candidate_Wrong,0.3951088556862546,0.23640382968227808,0.3684873146314674,0.3577305484115637,0.22833990208446892,0.4139295495039674
2024-10-13,Malta,Moldova,1,0,UEFA Nations League,Ta' Qali,Malta,False,0,0,0,1,B_Regression_Candidate_Wrong,0.3674202546601154,0.33180237410463903,0.30077737123524556,0.3560830613203251,0.357002119180183,0.28691481949949194
2024-11-16,Andorra,Moldova,0,1,UEFA Nations League,Andorra la Vella,Andorra,False,2,2,2,1,B_Regression_Candidate_Wrong,0.2529132897183089,0.3521869236857456,0.39489978659594543,0.25899197600114826,0.3717455259462842,0.3692624980525676
2024-11-17,Saint Vincent and the Grenadines,Bonaire,3,1,CONCACAF Nations League,San Salvador,El Salvador,True,0,0,0,2,B_Regression_Candidate_Wrong,0.40358382385709785,0.206193742132343,0.39022243401055917,0.38067908791206634,0.20979585017686997,0.4095250619110637
2024-12-24,Oman,Qatar,2,1,Gulf Cup,Sulaibikhat,Kuwait,True,0,0,0,1,B_Regression_Candidate_Wrong,0.3389647288705724,0.3259681307423738,0.3350671403870539,0.32995340582982047,0.3361354034272572,0.3339111907429223
2025-01-07,Tanzania,Kenya,0,2,Mapinduzi Cup,Gombani,Zanzibar,True,2,2,2,0,B_Regression_Candidate_Wrong,0.3422005352751801,0.3106231795654271,0.34717628515939275,0.36358311546149347,0.29003971387632155,0.34637717066218504
2025-06-05,Iraq,South Korea,0,2,FIFA World Cup qualification,Basra,Iraq,False,2,2,2,1,B_Regression_Candidate_Wrong,0.29501425056641123,0.3451294009879782,0.35985634844561054,0.27977921801608785,0.37600968260788054,0.34421109937603167
2025-06-10,Saudi Arabia,Australia,1,2,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,2,2,2,1,B_Regression_Candidate_Wrong,0.2525544706060505,0.37053119858177197,0.3769143308121775,0.24787740545645062,0.3807802238682749,0.37134237067527454
2025-09-08,Ghana,Mali,1,0,FIFA World Cup qualification,Accra,Ghana,False,0,0,0,1,B_Regression_Candidate_Wrong,0.3757290206640334,0.3627380313568361,0.2615329479791305,0.3625455675851241,0.38307052724850665,0.25438390516636933
2025-11-18,Faroe Islands,Kazakhstan,1,0,Friendly,Pula,Croatia,True,0,0,0,2,B_Regression_Candidate_Wrong,0.3729209561281634,0.25901015217026213,0.36806889170157453,0.3716303778276548,0.24552628857010508,0.3828433336022401
2025-11-18,Oman,Ivory Coast,0,2,Friendly,Seeb,Oman,False,2,2,2,0,B_Regression_Candidate_Wrong,0.3241176514271857,0.3341256593574372,0.34175668921537716,0.34926040190278324,0.32741505255189685,0.32332454554531986
2026-06-09,DR Congo,Chile,1,2,Friendly,Orléans,France,True,2,2,2,1,B_Regression_Candidate_Wrong,0.2896660375737539,0.32994552395325805,0.3803884384729881,0.27710529783827587,0.3688269078291848,0.3540677943325394
