team,slot,player_name,sofifa_id,age,ovr,ability,positional_fit,preferred_positions
Uruguay,CM,L. Torreira,223959,25.0,80.0,80.0,1.0,"CDM, CM"
Uruguay,CM,R. Bentancur,227535,24.0,78.0,78.0,1.0,CM
Uruguay,CM,N. De la Cruz,240699,24.0,78.0,78.0,1.0,"CM, CAM, LW"
Uruguay,LW,J. Rodríguez,223816,27.0,80.0,80.0,1.0,"ST, LW"
Uruguay,ST,M. Gómez,239207,24.0,80.0,80.0,1.0,ST
Uruguay,RW,A. Silva,218868,31.0,75.0,75.0,1.0,"RW, RM"
South Korea,GK,Jo Hyeon Woo,212432,29.0,75.0,75.0,1.0,GK
South Korea,LB,Kang Sang Woo,222734,27.0,72.0,72.0,1.0,"LB, LW"
South Korea,CB,Kim Min Jae,237086,24.0,74.0,74.0,1.0,CB
South Korea,CB,Jang Hyeon Soo,211005,29.0,74.0,74.0,1.0,CB
South Korea,RB,Kim Tae Hwan,199231,31.0,72.0,72.0,1.0,"RB, RW"
South Korea,CM,Kim Bo Kyung,199183,31.0,72.0,72.0,1.0,"CM, CAM"
South Korea,CM,Yoon Bit Garam,200601,31.0,73.0,73.0,1.0,"CM, LM"
South Korea,CM,Paik Seung Ho,237424,24.0,69.0,69.0,1.0,"CM, RW, LW"
South Korea,LW,H. Son,200104,28.0,89.0,89.0,1.0,"LM, CF, LW"
South Korea,ST,Hwang Ui Jo,212260,28.0,76.0,76.0,1.0,"ST, LM"
South Korea,RW,Lee Jae Sung,221671,28.0,75.0,75.0,1.0,"CM, CF, CAM"
