match_idx,date,stage,team_home,team_away,home_elo,away_elo,actual_home_score,actual_away_score,actual_scoreline,actual_outcome,static_p_home,static_p_draw,static_p_away,static_pred_outcome,static_correct,static_log_loss,static_rps,static_brier,static_mode_scoreline,static_score_nll,static_score_hit,mds_p_home,mds_p_draw,mds_p_away,mds_pred_outcome,mds_correct,mds_log_loss,mds_rps,mds_brier,mds_mode_scoreline,mds_score_nll,mds_score_hit
93,2026-07-06,Round of 16,Portugal,Spain,2010,2120,0,1,0 - 1,Away,0.3095,0.3188,0.3718,Away,1,0.9895,0.2452,0.592,1 - 1,2.1487,0,0.31,0.3184,0.3716,Away,1,0.99,0.2455,0.5924,1 - 1,2.1498,0
94,2026-07-06,Round of 16,USA,Belgium,1850,1950,1,4,1 - 4,Away,0.3427,0.3087,0.3486,Away,1,1.0539,0.2709,0.6371,1 - 1,4.7411,0,0.3432,0.3081,0.3487,Away,1,1.0536,0.271,0.6369,1 - 1,4.7333,0
95,2026-07-07,Round of 16,Argentina,Egypt,2150,1730,3,2,3 - 2,Home,0.4519,0.302,0.2461,Home,1,0.7943,0.1805,0.4522,1 - 1,3.9968,0,0.4519,0.3018,0.2463,Home,1,0.7943,0.1805,0.4521,1 - 1,3.9983,0
96,2026-07-07,Round of 16,Switzerland,Colombia,1860,1990,0,0,0 - 0,Draw,0.3279,0.3099,0.3622,Away,0,1.1715,0.1194,0.715,1 - 1,2.1767,0,0.3277,0.3095,0.3628,Away,0,1.1728,0.1195,0.7158,1 - 1,2.1769,0
97,2026-07-09,Quarter-Finals,France,Morocco,2100,1920,2,0,2 - 0,Home,0.4427,0.3026,0.2547,Home,1,0.8148,0.1877,0.467,1 - 1,2.4059,0,0.4422,0.3024,0.2555,Home,1,0.8161,0.1882,0.4679,1 - 1,2.408,0
98,2026-07-10,Quarter-Finals,Spain,Belgium,2120,1950,2,1,2 - 1,Home,0.4138,0.3114,0.2748,Home,1,0.8824,0.2096,0.5161,1 - 1,2.4937,0,0.414,0.3111,0.2748,Home,1,0.8818,0.2094,0.5157,1 - 1,2.4959,0
99,2026-07-11,Quarter-Finals,Norway,England,1775,2050,1,2,1 - 2,Away,0.2765,0.3002,0.4233,Away,1,0.8597,0.2045,0.4991,1 - 1,2.4492,0,0.2762,0.2996,0.4242,Away,1,0.8576,0.2039,0.4976,1 - 1,2.4502,0
100,2026-07-11,Quarter-Finals,Argentina,Switzerland,2150,1860,3,1,3 - 1,Home,0.4161,0.3051,0.2788,Home,1,0.8768,0.2093,0.5117,1 - 1,3.3076,0,0.4165,0.3045,0.279,Home,1,0.8759,0.2092,0.5111,1 - 1,3.3059,0
101,2026-07-14,Semi-Finals,France,Spain,2100,2120,0,2,0 - 2,Away,0.329,0.3162,0.3548,Away,1,1.0363,0.2623,0.6246,1 - 1,2.6589,0,0.3292,0.3158,0.3551,Away,1,1.0354,0.2621,0.624,1 - 1,2.6583,0
102,2026-07-15,Semi-Finals,England,Argentina,2050,2150,1,2,1 - 2,Away,0.3527,0.3135,0.3338,Home,0,1.0972,0.2841,0.6665,1 - 1,2.6048,0,0.3526,0.3131,0.3343,Home,0,1.0957,0.2838,0.6655,1 - 1,2.606,0
103,2026-07-18,Third-Place Match,France,England,2100,2050,4,6,4 - 6,Away,0.3526,0.312,0.3355,Home,0,1.0922,0.283,0.6632,1 - 1,10.7697,0,0.3528,0.3113,0.3359,Home,0,1.091,0.2828,0.6624,1 - 1,10.737,0
104,2026-07-19,Final,Spain,Argentina,2120,2150,1,0,1 - 0,Home,0.372,0.3169,0.3111,Home,1,0.9888,0.2456,0.5916,1 - 1,2.164,0,0.3724,0.3162,0.3114,Home,1,0.9878,0.2454,0.5909,1 - 1,2.1668,0
