model_family,val_accuracy,val_log_loss,val_norm_rps,val_brier,val_ece
xgboost,0.5945758799769186,0.876594339330404,0.17261936629993804,0.5160232588188962,0.007015827120386515
lightgbm,0.5934218118869014,0.877156832296489,0.17267344713334157,0.5165406015041235,0.009088397591826647
hist_gbdt,0.5958453548759377,0.877802521145542,0.17276532609265774,0.5167047636325685,0.006529228124132928
catboost,0.5949221004039238,0.8793655053907412,0.17303967480044202,0.5169372100803676,0.01012679754554419
random_forest,0.590998268897865,0.8830091421655832,0.17416585746122404,0.5196738785936125,0.013811184332333158
extra_trees,0.5863819965377958,0.894899054983864,0.17710959562347633,0.5263301217518342,0.0301220149914469
