fold,n_train,n_val,val_accuracy,val_log_loss,val_norm_rps,val_ece
0,35655,3961,0.5841959101237061,0.8922166182359694,0.17827646895495536,0.022831599076883945
1,37883,4209,0.5892135899263483,0.8926423792445136,0.1771431142213491,0.01413823257344996
2,40112,4456,0.5947037701974865,0.8691611786700417,0.1687588706570502,0.017710247322233353
3,42340,4704,0.6116071428571429,0.8538414115250736,0.16674209543353755,0.01118330369767602
