strategy,accuracy,log_loss,norm_rps,ece,weights,temperature
SLSQP_Optimal_Calibrated,0.5955568378534334,0.8759754189867562,0.1724231278624012,0.008972679305300239,[0.304 0.25  0.172 0.209 0.065],0.95
Equal_Weights,0.5959030582804385,0.8769369559349476,0.17250489502062383,0.013354464560616605,[0.2 0.2 0.2 0.2 0.2],
Single_XGBoost,0.5954991344489324,0.8762467212796742,0.17253904817442364,0.005364836474764403,XGBoost=1.0,
Single_LightGBM,0.5942296595499135,0.8768573740150228,0.17255990719927805,0.009713242123917156,LightGBM=1.0,
Single_HistGBDT,0.5954414310444316,0.877533838222879,0.17277304689988177,0.007827753263579736,HistGBDT=1.0,
Single_CatBoost,0.5949221004039238,0.8793655053907412,0.17303967480044202,0.01012679754554419,CatBoost=1.0,
Single_Dixon_Coles,0.5886901327178303,0.8922570423527285,0.17598212192428267,0.02393881000617116,Dixon_Coles=1.0,
